head,tail,relation,edge_direction,evidence_count,mean_confidence,max_confidence,edge_score,evidence
Justus,Rihyarda,family,undirected,5,0.9859277946330472,0.997226178632606,1.7665454620088956,"Infobox field family/Mother: Rihyarda | Infobox field family/Son: Justus | He bears a strong resemblance to his mother, Rihyarda, and his sister, Gudrun."
Gieselfried,Letizia,family,undirected,5,0.980870745851883,0.9969314421518756,1.7574844469688964,"Infobox field family/Father: Drewanchel Archducal Family Member (Biological) Gieselfried (Adoptive, Deceased) | Infobox field family/Mother: Daughter of Gieselfried (Biological) Gieselfried's First Wife (Adoptive, Deceased) | Infobox field family/Relatives: Letizia (Granddaughter, Biological) Benedikta (Granddaughter) Aurelia (Niece) Martina (Niece) Lamprecht (Nephew, In-Law)"
Rihyarda,Traugott,family,undirected,5,0.9796145184280431,0.9871577820304306,1.7552335895867273,"Traugott is the son of Karstedt's younger brother and Gudrun, Rihyarda's daughter. | Infobox field family/Offspring: Traugott (Grandson) | Infobox field family/Grandmother: Rihyarda"
Detlinde,Letizia,family,undirected,4,0.9912104486106139,0.9937988185320058,1.5952916751947346,"Infobox field family/Sister: Detlinde (Adoptive Half-Sister) Alstede (Adoptive Half-Sister) | Infobox field family/Sister: Alstede Letizia (Half-Sister, Adoptive) | Infobox field family/Aunt: Detlinde Alstede"
Elvira,Previous Count Leisegang,family,undirected,4,0.987765106910878,0.9933698117686616,1.5897466116418895,"Infobox field family/Relatives: Previous Count Leisegang (Great-Grandfather) Count Groschel (Cousin) Traugott (Nephew) | Infobox field family/Offspring: Karstedt (Grandson) Count Leisegang (Grandson) Leberecht (Grandson) Claudio (Grandson) Elvira (Granddaughter) Eckhart (Great-Grandson) Lamprecht (Great-Grandson) Cornelius (Great-Grandson) Rozemyne (Great-Granddaughter) Traugott (Great-Grandson) Nikolaus (Great-Grandson) Oliswalt (Great-Grandson) Leberecht's Middle Son (Great-Grandson) Hartmut (Great-Grandson) Leonore (Great-Granddaughter) Brunhilde (Great-Granddaughter) Bertilde (Great-Granddaughter) | Infobox field family/Relatives: Elvira (Granddaughter, In-Law) Trudeliede (Granddaughter, In-Law) Rozemary (Granddaughter-In-Law, Deceased) Heidemarie (Great-Granddaughter, In-Law, Deceased) Aurelia (Great-Granddaughter, In-Law)"
Blasius,Letizia,family,undirected,4,0.9856533649407055,0.9946739043391494,1.5863478940538156,"Infobox field family/Uncle: Wolfram (Deceased) Blasius | Infobox field family/Relatives: Aurelia (Cousin) Martina (Cousin) Letizia (Niece) | Infobox field family/Sister: Alstede (Half-Sister) Detlinde (Half-Sister) Letizia (Half-Sister, Adoptive) Several other unnamed women"
Hartmut,Leberecht,family,undirected,4,0.984416256945133,0.9995272807181964,1.5843568455439658,"Infobox field family/Father: Leberecht | He is the father of three sons, of whom Hartmut is the youngest and Oliswalt the oldest. | Infobox field family/Son: Oliswalt Unnamed Son Hartmut"
Eglantine,Hildebrand,family,undirected,4,0.9842982374234286,0.9951067326526788,1.5841669004513272,"Infobox field family/Relatives: Anastasius (Cousin) Sigiswald (Cousin) Hildebrand (Cousin) Nahelache's Son (Nephew) | Infobox field family/Relatives: Eglantine (Cousin) Lestilaut (Cousin) Hannelore (Cousin) Reginald (Cousin) Kenntrips (Cousin) Rasantark (Cousin) Raufereg (Cousin) Lungtase (Cousin) Nahelache's Son (Half-Nephew) Stephareine (Half-Niece) | Infobox field family/Sister: Trauerqual's Daughter (Deceased) Eglantine (Half-Sister, In-Law) Nahelache (Half-Sister, In-Law) Adolphine (Half-Sister, In-Law, Former)"
Gudrun,Traugott,family,undirected,4,0.9840158289285007,0.9982688990628968,1.583712381512797,"Infobox field family/Mother: Gudrun | Infobox field family/Son: Traugott | Traugott is the son of Karstedt's younger brother and Gudrun, Rihyarda's daughter."
Eglantine,Sigiswald,family,undirected,4,0.9819264413774391,0.9951067326526788,1.5803496419743506,Infobox field family/Relatives: Anastasius (Cousin) Sigiswald (Cousin) Hildebrand (Cousin) Nahelache's Son (Nephew) | Infobox field family/Relatives: Eglantine (Cousin) Stephareine | Infobox field family/Sister: Trauerqual's Daughter (Deceased) Eglantine (In-Law)
