head,tail,relation,edge_direction,evidence_count,mean_confidence,max_confidence,edge_score,evidence
Adolphine,Sigiswald,romantic,undirected,19,0.9781146531578947,0.9863398,2.930169633701173,"After graduating from the Royal Academy, she married Prince Sigiswald as his first wife. | With Eglantine now removed from his consideration for a first wife, Sigiswald gets engaged with Adolphine of Drewanchel. | Insulted that Sigiswald would marry her while having no intention of treating her as his wife, Adolphine proposes they postpone the marriage until next year, as is considered courteous."
Lieseleta,Thorsten,romantic,undirected,12,0.9811326375000001,0.9849128,2.5165555281401684,"Infobox field family/Spouse: Unnamed Man (Engaged) Thorsten (Engaged, Cancelled) Uderick (Engaged, Cancelled) | With her being without a partner, the archscholar Thorsten, one of Lord Wilfried's retainers, proposes to Lieseleta and agrees to marry down into her mednoble family, just a short time before her coming-of-age. | Lieseleta's family being faction neutral, despite the budding connections they have with both Rozemyne and Bonifatius, and her having archnoble levels of mana, makes her attractive enough of a match for Thorsten, the family is willing to marry their son down into the mednoble family, while such a match would grant Lieseleta's family a future husband who fulfills all their wishes, except being an attendant."
Effa,Gunther,romantic,undirected,11,0.9778666409090909,0.9855516,2.4299073186008546,"Thanks to Gunther's passion, his marriage proposal was consented, if Effa wanted to marry him. | A good-natured and hard-working woman, Effa is a loving wife to Gunther and a supportive mother to Tuuli, Myne and Kamil. | When he first met Effa, he fell in love with her at first sight and would visit her every single day at her home and ask her father for her hand in marriage."
Georgine,Veronica,family,undirected,10,0.9827597399999999,0.98951155,2.3565549348425554,"Infobox field family/Mother: Veronica | She bears a striking resemblance to her mother, Veronica . | She is the mother of Georgine, Constanze and Sylvester."
Hannelore,Lestilaut,family,undirected,9,0.9862820766666667,0.98842037,2.2709984072198774,"*Kenntrips - Kenntrips is an apprentice archscholar and cousin of Lestilaut and Hannelore. | *Rasantark - A male apprentice archknight and cousin of Lestilaut and Hannelore. | Hannelore (ハンネローレ, Hanneroore) is an archduke candidate from Dunkelfelger and Lestilaut's younger sister."
Brigitte,Hassheit,romantic,undirected,9,0.9780125666666666,0.9854173,2.251957156767512,"Hassheit (ハスハイト, Hasuhaito) is a mednoble of Ehrenfest and Brigitte's former fiancé. | Brigitte's became engaged to Hassheit soon after her father died and Helfried became the next Giebe Illgner. | Hassheit and Brigitte were engaged to be married."
Justus,Rihyarda,family,undirected,8,0.987365585,0.9893112,2.169463930177954,"Infobox field family/Mother: Rihyarda | His mother is Rihyarda, Rozemyne's former head attendant in the castle. | At some point, Rihyarda started a family and had two children: her son, Justus, and her daughter, Gudrun."
Lieseleta,Uderick,romantic,undirected,8,0.983383495,0.98587877,2.1607143841607894,"Uderick (ウーデリック) is an adult medattendant of Ehrenfest who was Lieseleta's previous fiancé prior to Lieseleta reaching archnoble level mana. | Uderick was a man of Lieseleta and Angelica's noble house to whom she was previously engaged to, and was under an original plan, meant to support the house as Lieseleta's husband. | Infobox field family/Spouse: Unnamed Man (Engaged) Thorsten (Engaged, Cancelled) Uderick (Engaged, Cancelled)"
Ralfrieda,Trauerqual,romantic,undirected,8,0.98162859875,0.9867446,2.1568584829896142,"Ralfrieda was born in the duchy of Gilessenmeyer and later in life married the future Zent Trauerqual. | However for political reasons, and to reward Magdalena for the crucial role she played in bringing down the traitor, Trauerqual decides to demote Ralfrieda to third wife, and has Magdalena take the place of his first. | To avoid repercussions to Ralfrieda, for being the one who brought forward Raublut as a retainer to her husband, to reward Magdalena for her active role in defeating Raublut and other political reasons, Trauerqual promotes Magdalena to his first wife, and demotes Ralfrieda to third."
Adelbert,Sylvester,family,undirected,8,0.9806164587499999,0.9885661,2.154634584105909,"Infobox field family/Father: Adelbert (Deceased) | Sylvester is the son of Adelbert, the sixth Aub Ehrenfest and Veronica. | Adelbert was succeeded as archduke by his son Sylvester, the seventh Aub Ehrenfest."
